id	path	size	has_symtab	has_debug_sections	build_id	elf_type	source_group	local_path	local_build_id	status
tdb_tdbdump_O0	$WORKSPACE/data/debug/tdb_tdbdump_O0	23592	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbdump_O1	$WORKSPACE/data/debug/tdb_tdbdump_O1	26464	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbdump_O2	$WORKSPACE/data/debug/tdb_tdbdump_O2	27176	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbdump_O3	$WORKSPACE/data/debug/tdb_tdbdump_O3	28704	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbrestore_O0	$WORKSPACE/data/debug/tdb_tdbrestore_O0	23112	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbrestore_O1	$WORKSPACE/data/debug/tdb_tdbrestore_O1	26792	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbrestore_O2	$WORKSPACE/data/debug/tdb_tdbrestore_O2	27744	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbrestore_O3	$WORKSPACE/data/debug/tdb_tdbrestore_O3	27904	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbtool_O0	$WORKSPACE/data/debug/tdb_tdbtool_O0	51072	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbtool_O1	$WORKSPACE/data/debug/tdb_tdbtool_O1	60208	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbtool_O2	$WORKSPACE/data/debug/tdb_tdbtool_O2	58704	1	1		EXEC	data/debug			MISSING_LOCAL
tdb_tdbtool_O3	$WORKSPACE/data/debug/tdb_tdbtool_O3	62768	1	1		EXEC	data/debug			MISSING_LOCAL
tengine_nginx_O0	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/tengine_nginx_O0	4076960	1	1	5cc9387de097f71c989b52c3957264f9fceae482	DYN	SymLM/xproj_debug			MISSING_LOCAL
tengine_nginx_O2	$WORKSPACE/baselines/SymLM/dataset_generation/xproj_debug/tengine_nginx_O2	4776024	1	1	732474ce4fc54fcf511796e3a43382d8af6f292b	DYN	SymLM/xproj_debug			MISSING_LOCAL
tengine_nginx_clang_O1	$WORKSPACE/clang_o1o3/bins/tengine_nginx_clang_O1.debug	4053464	1	1		DYN	clang_o1o3/bins	clang_o1o3/bins/tengine_nginx_clang_O1.debug		LOCAL_EXISTS_NO_BUILDID(size 4053464 vs 4053464)
tengine_nginx_clang_O3	$WORKSPACE/clang_o1o3/bins/tengine_nginx_clang_O3.debug	4157088	1	1		DYN	clang_o1o3/bins	clang_o1o3/bins/tengine_nginx_clang_O3.debug		LOCAL_EXISTS_NO_BUILDID(size 4157088 vs 4157088)
tig_tig_O0	$WORKSPACE/data/debug/tig_tig_O0	1244264	1	1		EXEC	data/debug			MISSING_LOCAL
tig_tig_O1	$WORKSPACE/data/debug/tig_tig_O1	1465304	1	1		EXEC	data/debug			MISSING_LOCAL
tig_tig_O2	$WORKSPACE/data/debug/tig_tig_O2	1573896	1	1		EXEC	data/debug			MISSING_LOCAL
tig_tig_O3	$WORKSPACE/data/debug/tig_tig_O3	1804584	1	1		EXEC	data/debug			MISSING_LOCAL
tinycc_tcc_O0	$WORKSPACE/data/cross_project/debug_unseen/tinycc_tcc_O0	586984	1	1	2acaefcff5e43c4f573af9c5815c20709990202e	EXEC	cross_project/debug_unseen			MISSING_LOCAL
tinycc_tcc_O1	$WORKSPACE/data/cross_project/debug_unseen/tinycc_tcc_O1	818600	1	1	cc5832167f7a26de9ba099a9d8d1698bbc96312f	EXEC	cross_project/debug_unseen			MISSING_LOCAL
tinycc_tcc_O2	$WORKSPACE/data/cross_project/debug_unseen/tinycc_tcc_O2	1029736	1	1	8605ec31cf44ca3e31de291672c1a8e344c43c64	EXEC	cross_project/debug_unseen			MISSING_LOCAL
tinycc_tcc_O3	$WORKSPACE/data/cross_project/debug_unseen/tinycc_tcc_O3	1464816	1	1	62fb26e8f5e23ae5f4a11113ad6b1bf78ec422a5	EXEC	cross_project/debug_unseen			MISSING_LOCAL
units2_units_O0	$WORKSPACE/data/raw/units2_units_O0	196448	1	1	95444ab822c245360a698612091d1ebcb64afb14	EXEC	data/raw			MISSING_LOCAL
units2_units_O1	$WORKSPACE/data/raw/units2_units_O1	273752	1	1	de841e4272f765c59e01d8b839278d05aa4470d1	EXEC	data/raw			MISSING_LOCAL
units2_units_O2	$WORKSPACE/data/raw/units2_units_O2	276744	1	1	d124f0eb4c4f8bc59d5c43e310bb3f42ca74689f	EXEC	data/raw			MISSING_LOCAL
units2_units_O3	$WORKSPACE/data/raw/units2_units_O3	281616	1	1	7160459ede0ad52144d4aa4318480f4335968ed1	EXEC	data/raw			MISSING_LOCAL
which2_which_O0	$WORKSPACE/data/raw/which2_which_O0	58384	1	1	c95881c26b57cf6d88c5372814666d7b6c217ca9	EXEC	data/raw			MISSING_LOCAL
which2_which_O1	$WORKSPACE/data/raw/which2_which_O1	72952	1	1	cf4bc94f0b5f40353dfdf0be1890fe36f8abf33a	EXEC	data/raw			MISSING_LOCAL
which2_which_O2	$WORKSPACE/data/raw/which2_which_O2	77928	1	1	f5d5e2129640715f85dbb4819718043510f8f955	EXEC	data/raw			MISSING_LOCAL
which2_which_O3	$WORKSPACE/data/raw/which2_which_O3	80032	1	1	a95a1cbfa08a95a910d53b0621f2beb2044d5379	EXEC	data/raw			MISSING_LOCAL
zstd_zstd_O0	$WORKSPACE/data/debug/zstd_zstd_O0	3590000	1	1		EXEC	data/debug			MISSING_LOCAL
zstd_zstd_O1	$WORKSPACE/data/debug/zstd_zstd_O1	6165472	1	1		EXEC	data/debug			MISSING_LOCAL
zstd_zstd_O2	$WORKSPACE/data/debug/zstd_zstd_O2	6958520	1	1		EXEC	data/debug			MISSING_LOCAL
zstd_zstd_O3	$WORKSPACE/data/debug/zstd_zstd_O3	8953016	1	1		EXEC	data/debug			MISSING_LOCAL
	$WORKSPACE/build_tmp/coreutils-8.32/src/make-prime-list	30056	1	1	d39943467549ccbe82f4b6960bc4a11d656b1c58	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/diffutils-3.10/src/cmp	224472	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/diffutils-3.10/src/diff	701888	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/diffutils-3.10/src/diff3	335992	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/diffutils-3.10/src/sdiff	245672	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/findutils-4.8.0/find/find	1521344	1	1	bb4a8395885c2fee31c6a9f49cb7dfdae0444dda	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/findutils-4.8.0/locate/frcode	176984	1	1	80c910d399b6aa607a7db38765f43568df55ba64	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/findutils-4.8.0/locate/locate	718080	1	1	3d08e67bb29c6de6f877ed81de077325b97060ea	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/findutils-4.8.0/xargs/xargs	329392	1	1	18eb3dba1a3ff512a90e63d17d167899eeb7649b	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/gawk-5.2.2/awklib/grcat	21376	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/gawk-5.2.2/awklib/pwcat	19600	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/gawk-5.2.2/gawk	3000208	1	1		EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/grep-3.8/src/grep	868920	1	1	b116ec75daa9c4048e8d90d973639f60adca04ba	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/gzip-1.12/gzip	343528	1	1	a3dc397bda5eb0ff332619b1508983ea31be6247	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/libtool-2.4.7/libltdl/.libs/libltdl.so.7.3.2	190080	1	1		DYN	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/nmap-7.94/libssh2/src/.libs/libssh2.so.1.0.1	1072904	1	1		DYN	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/patch-2.7/src/patch	620448	1	1	0ca7faad5d1ec53d8ead257fff458f16fb780cc6	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/sed-4.8/sed/sed	980648	1	1	48016998eaf713fbacdd2f53cd66ee0411e125f5	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/tar-1.34/rmt/rmt	255264	1	1	8ff2fdf5eaaa72005bc018de44723b5d161a8c62	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/tar-1.34/src/tar	2423424	1	1	dc9abddb9409dfeeee52ec76cdc27b2579649529	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/units-2.23/units	281616	1	1	7160459ede0ad52144d4aa4318480f4335968ed1	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/which-2.21/which	80032	1	1	a95a1cbfa08a95a910d53b0621f2beb2044d5379	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/xz-5.4.5/src/liblzma/.libs/liblzma.so.5.4.5	1045304	1	1	8e81870693656a45f15f83df37650e8e55a25c24	DYN	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/xz-5.4.5/src/lzmainfo/.libs/lzmainfo	31792	1	1	9996e3dfe47d57d275bbc7a6c2504357b47a7783	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/xz-5.4.5/src/xz/.libs/xz	272928	1	1	80155877a6bbbe8907c64548f214a5b21039af43	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/xz-5.4.5/src/xzdec/.libs/lzmadec	31144	1	1	692bfccb2da8c66a9e1b716320249a9f70d3ac35	EXEC	build_tmp(build-tree)			build-tree-dup
	$WORKSPACE/build_tmp/xz-5.4.5/src/xzdec/.libs/xzdec	31200	1	1	d231db7ab8b673da36982bf013e7b968297997ca	EXEC	build_tmp(build-tree)			build-tree-dup
